Date,Close,FTSE 100,Date,Close,Dow Jones ,Date,Close,CAC 40,Date,Close,Nikkei 225,Date,Close,FTSE MIB,Date,Close,SZSE Component Index,Date,Close,DAX,Date,Close,EURONEXT 100
3/9/2020 16:30:00,5965.77,5965.77,3/11/2020 16:00:00,23553.22,23553.22,3/9/2020 17:30:00,4707.91,4707.91,3/16/2020 15:00:00,17002.04,17002.04,3/9/2020 17:30:00,18475.91,18475.91,3/17/2020 15:00:00,10202.75,10202.75,3/9/2020 20:00:00,10625.02,10625.02,3/9/2020 17:30:00,914.32,914.32
3/10/2020 16:30:00,5960.23,5960.23,3/12/2020 16:00:00,21200.62,21200.62,3/10/2020 17:30:00,4636.61,4636.61,3/17/2020 15:00:00,17011.53,17011.53,3/10/2020 17:30:00,17870.18,17870.18,3/18/2020 15:00:00,10029.57,10029.57,3/10/2020 20:00:00,10475.49,10475.49,3/10/2020 17:30:00,901.5,901.5
3/11/2020 16:30:00,5876.52,5876.52,3/13/2020 16:00:00,23185.62,23185.62,3/11/2020 17:30:00,4610.25,4610.25,3/18/2020 15:00:00,16726.55,16726.55,3/11/2020 17:30:00,17928.64,17928.64,3/19/2020 15:00:00,10019.86,10019.86,3/11/2020 20:00:00,10438.68,10438.68,3/11/2020 17:30:00,896.16,896.16
3/12/2020 16:30:00,5237.48,5237.48,3/16/2020 16:00:00,20188.52,20188.52,3/12/2020 17:30:00,4044.26,4044.26,3/19/2020 15:00:00,16552.83,16552.83,3/12/2020 17:30:00,14894.44,14894.44,3/20/2020 15:00:00,10150.13,10150.13,3/12/2020 20:00:00,9161.13,9161.13,3/12/2020 17:30:00,788.87,788.87
3/13/2020 16:30:00,5366.11,5366.11,3/17/2020 16:00:00,21237.38,21237.38,3/13/2020 17:30:00,4118.36,4118.36,,,,3/13/2020 17:30:00,15954.29,15954.29,,,,3/13/2020 20:00:00,9232.08,9232.08,3/13/2020 17:30:00,800.75,800.75
3/16/2020 16:30:00,5151.08,5151.08,3/18/2020 16:00:00,19898.92,19898.92,3/16/2020 17:30:00,3881.46,3881.46,,,,3/16/2020 17:30:00,14980.34,14980.34,,,,3/16/2020 20:00:00,8742.25,8742.25,3/16/2020 17:30:00,755.08,755.08
3/17/2020 16:30:00,5294.9,5294.9,3/19/2020 16:00:00,20087.19,20087.19,3/17/2020 17:30:00,3991.78,3991.78,,,,3/17/2020 17:30:00,15314.77,15314.77,,,,3/17/2020 20:00:00,8939.1,8939.1,3/17/2020 17:30:00,772.34,772.34
3/18/2020 16:30:00,5080.58,5080.58,3/20/2020 16:00:00,19173.98,19173.98,3/18/2020 17:30:00,3754.84,3754.84,,,,3/18/2020 17:30:00,15120.48,15120.48,,,,3/18/2020 20:00:00,8441.71,8441.71,3/18/2020 17:30:00,733.93,733.93
3/19/2020 16:30:00,5151.61,5151.61,,,,3/19/2020 17:30:00,3855.5,3855.5,,,,3/19/2020 17:30:00,15466.97,15466.97,,,,3/19/2020 20:00:00,8610.43,8610.43,3/19/2020 17:30:00,756.95,756.95
3/20/2020 16:30:00,5190.78,5190.78,,,,3/20/2020 17:30:00,4048.8,4048.8,,,,3/20/2020 17:30:00,15731.85,15731.85,,,,3/20/2020 20:00:00,8928.95,8928.95,3/20/2020 17:30:00,792.16,792.16
